,"Gross domestic product 2020, PPP",,,,
,,,,,
,,,,(millions of,
,Ranking,,Economy,international dollars),
,,,,,
,,,,,
CHI,,,Channel Islands, -   ,
CUB,,,Cuba, -   ,
ERI,,,Eritrea, -   ,
FRO,,,Faroe Islands, -   ,
PYF,,,French Polynesia, -   ,
GIB,,,Gibraltar, -   ,
GRL,,,Greenland, -   ,
GUM,,,Guam, -   ,
IMN,,,Isle of Man, -   ,
PRK,,,"Korea, Dem. People's Rep.", -   ,
LIE,,,Liechtenstein, -   ,
MCO,,,Monaco, -   ,
NCL,,,New Caledonia, -   ,
MNP,,,Northern Mariana Islands, -   ,
SSD,,,South Sudan, -   ,
MAF,,,St. Martin (French part), -   ,
SYR,,,Syrian Arab Republic, -   ,
VEN,,,"Venezuela, RB", -   ,
VIR,,,Virgin Islands (U.S.), -   ,
YEM,,,"Yemen, Rep.", -   ,
,,,,,
,,,,,
WLD,,,World," 132,646,849 ",
,,,,,
EAS,,,East Asia & Pacific," 43,709,158 ",
ECS,,,Europe & Central Asia," 32,669,840 ",
LCN,,,Latin America & Caribbean," 10,350,590 ",
MEA,,,Middle East & North Africa," 7,621,235 ",
NAC,,,North America," 22,768,925 ",
SAS,,,South Asia," 11,325,580 ",
SSF,,,Sub-Saharan Africa," 4,341,116 ",
LIC,,,Low income," 1,678,685 ",
LMC,,,Lower middle income," 23,621,005 ",
UMC,,,Upper middle income," 46,169,162 ",
HIC,,,High income," 61,441,871 ",
,,,,,
,".. Not available. 
PPP is purchasing power parity; an international dollar has the same purchasing power over GDP as a U.S. dollar has in the United States. PPP figures are extrapolated from 2017 benchmark estimates by the International Comparison Program (ICP), unless otherwise footnoted. 
Note: Rankings include only those economies with confirmed GDP estimates. Figures in italics are for 2019 or 2018, ranking is approximate.
a. PPP is extrapolated from regression-based estimates for 2017.  b. PPP is extrapolated from revised 2011 benchmark estimates by the ICP.  c. Includes Former Spanish Sahara.   d. Covers mainland Tanzania only.  e. Excludes Abkhazia and South Ossetia.  f. Data are for the area controlled by the government of Cyprus.  g. Excludes Transnistria. h. Based on data from official statistics of Ukraine and Russian Federation; by relying on these data, the World Bank does not intend to make any judgment on the legal or other status of the territories concerned or to prejudice the final determination of the parties' claims.  i. Based on data officially reported by the National Statistics and  Censuses Institute of Argentina. The International Monetary Fund (IMF) has called on Argentina to adopt measures to address the quality of official GDP and consumer price index data, and issued an updated statement on Argentina’s progress on August 31, 2016.",,,,
,,,,,
,,,,,
,http://data.worldbank.org/data-catalog/world-development-indicators,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
