"","imdb_id","original_title","adult","genres.name","original_language","popularity","production_countries.name","release_date","budget","revenue","vote_average","vote_count"
"1:158","tt0099597","Force of Circumstance","FALSE","Thriller","en","0.6","United States of America","1990-06-01","0","0","0","0"
"1:160","tt1959332","American Mary","FALSE","Horror","en","8.781","Canada","2012-05-31","0","0","6.1","356"
"1:161","tt0066517","Cuadecuc, vampir","FALSE","Horror","ca","4.553","Spain","1972-05-05","0","0","6","21"
"1:162","","Allan Carr's Easy Way to Stop Smoking","FALSE",NA,"en","0.6",NA,"","0","0","0","0"
"1:163","tt0046862","Claws for Alarm","FALSE","Animation","en","3.251","United States of America","1954-05-22","0","0","6.8","25"
"1:165","tt0099386","Konec stalinismu v Čechách","FALSE","Animation","cs","1.649","Czechoslovakia","1991-02-13","0","0","7.5","30"
"1:166","","Bad Azz Muthaz: Black Ninja","FALSE","Action","en","0.6",NA,"","0","0","0","0"
"1:167","tt2287851","Last Flight to Abuja","FALSE","Action","en","2.099","United Kingdom","2012-06-29","0","0","3.8","5"
"1:168","tt2120051","A Dog Named Duke","FALSE","TV Movie","en","6.512","Canada","2012-04-28","0","0","6.4","19"
"1:169","","Inside the White House","FALSE","Documentary","en","1.613","United States of America","1996-01-01","0","0","7.3","3"
"1:173","","Gustavo Cerati: En Vivo Festival De Viña del Mar","FALSE",NA,"en","0.6",NA,"2007-02-21","0","0","0","0"
"1:175","tt0448992","Angel Rodriguez","FALSE","Drama","en","1.532","United States of America","2005-09-15","0","0","6.7","3"
"1:176","","Gustavo Cerati - Ahi Vamos Tour","FALSE",NA,"es","1.4",NA,"2007-04-01","0","0","0","0"
"1:178","","J'irai dormir chez vous","FALSE",NA,"fr","0.6",NA,"","0","0","0","0"
"1:182","tt1024207","Human Footprint","FALSE",NA,"en","1.4",NA,"2008-04-13","0","0","5.8","4"
"1:183","tt0459668","Kilomètre zéro","FALSE","Drama","fr","1.353","Finland","2005-05-12","0","0","5.8","6"
"1:184","tt0423441","Le Domaine perdu","FALSE","Fantasy","fr","0.877","Spain","2005-06-01","0","0","5.5","1"
"1:185","tt1238293","HottieBoombaLottie","FALSE","Comedy","en","0.813",NA,"2008-01-01","0","0","3.8","4"
"1:187","","Corações Sujos","FALSE","History","pt","1.435","Brazil","2012-07-21","0","0","6.5","8"
"1:189","tt1729615","Sugar","FALSE","Drama","en","2.894","United States of America","2013-04-06","0","0","5.8","6"
"1:191","tt0436941","Who Killed Cock Robin?","FALSE",NA,"en","0.6",NA,"2005-01-20","0","0","5.8","4"
"1:196","tt0206236","Quixote","FALSE",NA,"en","0.6","United States of America","1965-12-10","0","0","5.2","6"
"1:197","tt2243299","Final Cut: Hölgyeim és uraim","FALSE","Documentary","hu","3.752","Hungary","2012-02-04","0","0","7.6","52"
"1:198","tt2368749","Después de Lucía","FALSE","Drama","es","6.792","Mexico","2012-10-03","0","0","6.7","88"
"1:201","tt1629715","Miss Lovely","FALSE","Drama","hi","1.899","India","2014-01-17","0","0","6.4","12"
"1:202","tt1816518","Ernest et Célestine","FALSE","Animation","fr","11.698","Belgium","2012-12-12","12516654","8109160","7.8","409"
"1:204","tt2369497","Trois mondes","FALSE","Drama","fr","1.451","France","2012-12-05","0","0","5.4","17"
"1:206","tt1928337","Mine Games","FALSE","Thriller","en","6.517","United States of America","2012-12-01","1500000","0","5.5","67"
"1:208","tt2202607","Toată lumea din familia noastră","FALSE","Drama","ro","1.976","Netherlands","2012-02-13","0","0","6.4","20"
"1:209","tt2399523","Journal de France","FALSE","Documentary","fr","1.278","France","2012-05-22","0","0","6.8","16"
"1:211","tt2369023","La Pirogue","FALSE","Drama","fr","1.776","Senegal","2012-10-17","0","0","5.8","11"
"1:214","tt2399533","Les Invisibles","FALSE","Romance","fr","2.031","France","2012-11-28","0","0","6.8","28"
"1:216","","National Geographic: Into the Great Pyramid","FALSE","Documentary","en","0.6",NA,"2004-03-24","0","0","6","1"
"1:217","","Tora, Tora, Tora: The Real Story of Pearl Harbor","FALSE",NA,"en","0.931",NA,"2000-01-01","0","0","3.7","3"
"1:218","tt0046548","Wienerinnen","FALSE","Crime","de","0.6","Austria","1952-02-26","0","0","5.8","5"
"1:220","tt1758610","Unconditional","FALSE","Drama","en","20.554","United States of America","2012-09-21","2000000","0","6.9","48"
"1:222","tt2379332","Kinshasa Kids","FALSE","Drama","en","1.544",NA,"2012-09-11","0","0","6.3","4"
"1:224","tt0087717","Miami Vice: Brother's Keeper","FALSE","Drama","en","2.127",NA,"1984-09-16","0","0","7.9","10"
"1:225","tt2232482","Best Day Ever","TRUE",NA,"en","0.6","United States of America","2012-06-13","0","0","0","0"
"1:231","","Assi and Guri Show","FALSE",NA,"he","0.722",NA,"2006-01-01","0","0","0","0"
"1:232","","אבי קושניר איש המערות","FALSE",NA,"he","0.6",NA,"","0","0","0","0"
"1:235","","Prozac Three","FALSE",NA,"he","2.099",NA,"2008-04-09","0","0","0","0"
"1:236","tt0034704","Die Entlassung","FALSE","Drama","de","1.014","Germany","1942-09-15","0","0","5.1","5"
"1:237","","דודו טופז - פליטת פה","FALSE",NA,"he","0.6","Israel","1984-01-01","0","0","0","0"
"1:238","tt1784432","Factory Farmed","FALSE","Science Fiction","en","1.926",NA,"2008-05-04","0","0","6","7"
"1:242","tt0426209","Shellshock Rock","FALSE","Music","en","0.6","United Kingdom","1979-01-01","0","0","6","1"
"1:243","tt0033642","Första divisionen","FALSE","Drama","sv","1.569","Sweden","1941-09-23","0","0","10","1"
"1:246","tt0351920","Unglassed Windows Cast a Terrible Reflection","FALSE","Drama","en","0.822","United States of America","1953-01-01","0","0","6.8","6"
"1:249","tt0834927","Magic Flute Diaries","FALSE","Drama","en","0.89",NA,"2008-04-15","0","0","0","0"
"1:255","tt0057365","Normal Love","FALSE",NA,"en","1.375","United States of America","1964-03-01","0","0","7.6","7"
"1:257","tt0041827","Roughshod","FALSE","Romance","en","1.663","United States of America","1949-05-11","0","0","5.3","9"
"1:258","","מיקי גבע - ההופעה","FALSE",NA,"he","0.6",NA,"","0","0","0","0"
"1:259","tt0109384","Casa de Lava","FALSE","Drama","pt","1.981","France","1994-01-01","0","0","6.9","20"
"1:260","tt0017744","Sur un air de Charleston","FALSE","Science Fiction","fr","1.526","France","1927-03-19","0","0","6.3","14"
"1:262","tt2332516","记忆望着我","FALSE","Drama","zh","0.6",NA,"2012-08-07","0","0","7","1"
"1:264","tt0038047","Salty O'Rourke","FALSE","Drama","en","2.271","United States of America","1945-03-22","0","0","5.3","6"
"1:265","tt2201986","Asian Gangs","FALSE",NA,"en","0.6",NA,"2013-12-31","0","0","0","0"
"1:268","","On the Circuit — Bouldering Colorado","FALSE","Adventure","en","0.6",NA,"","0","0","10","1"
"1:271","","SHIBARI - Leçons de cordes","TRUE",NA,"fr","0.6","France","2011-12-01","0","0","0","0"
"1:277","tt2261757","La rouge et la noire","FALSE","Crime","fr","0.6","France","2011-06-08","0","0","0","0"
"1:278","tt6256870","Приключения Шерлока Холмса и доктора Ватсона: Сокровища Агры. Часть 1","FALSE","Mystery","ru","1.615","Russia","1983-06-25","0","0","8.3","6"
"1:279","tt0287149","XCU: Extreme Close Up","FALSE","Thriller","en","1.505",NA,"2001-05-28","0","0","0","0"
"1:280","tt0071287","The Case of the Smiling Stiffs","FALSE","Comedy","en","2.111","United States of America","1973-10-17","0","0","6","5"
"1:283","","गैंग्स ऑफ़ वास्सेपुर पार्ट - २","FALSE","Action","hi","6.82","India","2012-08-08","1670000","4900000","8","63"
"1:285","tt0073389","Milestones","FALSE","Documentary","en","1.08","United States of America","1975-10-08","0","0","6.1","8"
"1:287","tt0261367","El trono del infierno","FALSE","Science Fiction","es","1.089","Mexico","1994-01-17","0","0","5.8","5"
"1:288","tt0064333","Flareup","FALSE","Thriller","en","1.861","United States of America","1969-11-10","0","0","5","5"
"1:289","tt2338778","รักสุดท้ายป้ายหน้า","FALSE","Comedy","th","0.84","Thailand","2012-01-25","0","0","6.1","7"
"1:290","tt8853646","温泉ポン引女中","FALSE",NA,"ja","0.905","Japan","1969-06-27","0","0","8","1"
"1:291","","温泉おさな芸者","FALSE","Comedy","ja","0.6","Japan","1973-07-04","0","0","0","0"
"1:294","tt0120123","Shooting Porn","FALSE","Documentary","en","1.558","United States of America","1997-07-11","0","0","2.7","3"
"1:296","tt1428455","Sandow","FALSE","Documentary","en","1.494","United States of America","1896-12-30","0","0","5","41"
"1:298","tt0062424","L'uomo, l'orgoglio, la vendetta","FALSE","Action","it","2.552","Germany","1967-12-22","0","0","5.7","12"
"1:300","tt0484195","キャッチ ア ウェーブ","FALSE","Action","ja","1.138","Japan","2006-04-29","0","0","7","1"
"1:301","tt0024553","Should Ladies Behave","FALSE","Comedy","en","0.662","United States of America","1933-12-01","0","0","4","1"
"1:303","tt0083783","Het dak van de Walvis","FALSE","Fantasy","nl","1.396","Netherlands","1982-02-04","0","0","6.7","7"
"1:304","tt0060978","7 dollari sul rosso","FALSE","Western","it","0.982","Italy","1966-03-16","0","0","4.4","7"
"1:306","tt0424359","A Poem Is a Naked Person","FALSE","Documentary","en","0.948","United States of America","1974-05-09","0","0","7.8","4"
"1:307","tt0256420","Take a Girl Like You","FALSE",NA,"en","1.045","United Kingdom","2000-11-26","0","0","7","1"
"1:308","tt2857348","바다 쪽으로, 한 뼘 더","FALSE","Drama","ko","0.704","South Korea","2009-05-20","0","0","8","1"
"1:310","tt1262985","Garapa","FALSE","Documentary","pt","0.683","Brazil","2009-02-11","0","0","8","3"
"1:313","tt0410818","Tying the Knot","FALSE","Documentary","en","2.006",NA,"2004-10-01","0","0","7.1","8"
"1:315","tt0061971","乱れ雲","FALSE","Romance","ja","3.189","Japan","1967-11-18","0","0","7.8","25"
"1:316","tt0417071","Les mots bleus","FALSE","Romance","fr","0.815","France","2005-03-22","7000000","0","6.3","7"
"1:317","tt0064785","Pan Wolodyjowski","FALSE","History","pl","2.906","Poland","1969-10-15","0","0","7.1","25"
"1:319","tt0978352","NARA:奈良美智との旅の記録","FALSE",NA,"en","0.6",NA,"2007-02-24","0","0","5","1"
"1:321","tt2112198","Marked Man","FALSE",NA,"en","0.6",NA,"","0","0","0","0"
"1:322","tt1196702","SupahPapalicious","FALSE","Comedy","en","1.342","Philippines","2008-04-06","0","0","0","0"
"1:323","tt0778120","썬데이 서울","FALSE",NA,"ko","1.4","South Korea","2006-02-09","0","0","4","2"
"1:325","tt1907614","Alter Egos","FALSE","Comedy","en","3.14","United States of America","2012-07-20","0","0","5.1","24"
"1:326","tt1267327","色即ぜねれいしょん","FALSE",NA,"ja","0.6","Japan","2009-08-15","0","0","6","1"
"1:327","tt0368644","Cinema16: British Short Films","FALSE",NA,"en","0.6",NA,"2003-05-05","0","0","4","1"
"1:329","tt0913955","Cinema16: American Short Films","FALSE",NA,"en","0.6",NA,"2006-06-05","0","0","8","1"
"1:330","","Cinema16: European Short Films","FALSE",NA,"en","0.6",NA,"2006-06-05","0","0","7","1"
"1:332","","Cinema16: European Short Films (Special US Edition)","FALSE",NA,"en","0.635",NA,"2007-09-25","0","0","0","0"
"1:333","","Frank Zappa and the Mothers of Invention: In the 1960's","FALSE","Documentary","en","0.6",NA,"2009-01-20","0","0","0","0"
"1:334","tt0027481","The Crimes of Stephen Hawke","FALSE","Horror","en","0.981","United Kingdom","1936-04-30","0","0","4.5","3"
"1:336","tt1907759","Speak","FALSE","Documentary","en","1.104",NA,"2012-08-17","0","0","0","0"
"1:338","","Frank Zappa - Live in Paris 1980","FALSE",NA,"en","0.6",NA,"2008-06-12","0","0","0","0"
"1:341","tt2331159","Without A Net","FALSE","Documentary","en","1.099",NA,"2012-03-24","0","0","0","0"
"1:343","tt2215777","Words Of Witness","FALSE","Documentary","en","0.6",NA,"2012-10-12","0","0","0","0"
"1:346","tt0401696","Non aprite quella porta 3","FALSE","Horror","en","2.574","Italy","1990-08-03","0","0","5.2","23"
"1:347","tt1698027","Victim","FALSE","Action","en","1.184",NA,"2011-10-02","0","0","4","3"
"1:355","tt0331711","Where the Toys Come From","FALSE","Family","en","0.905",NA,"1983-12-03","0","0","5.7","7"
"1:356","tt0251854","Mondo oscenità","FALSE","Documentary","en","0.6",NA,"1966-06-30","0","0","0","0"
"1:358","tt0234266","Monte Carlo","FALSE","Comedy","nl","1.4","Netherlands","2001-10-18","0","0","0","0"
"1:359","tt0069911","Commuter Husbands","FALSE",NA,"en","0.6",NA,"1974-12-01","0","0","0","0"
"1:361","tt0261753","It Came!","FALSE",NA,"en","0.6",NA,"1993-01-01","0","0","3.7","3"
"1:363","tt0072222","Street Girls","FALSE","Drama","en","0.6","United States of America","1975-01-01","0","0","4","1"
"1:364","tt0057062","Five Minutes to Love","FALSE",NA,"en","0.709",NA,"1963-01-01","0","0","5","3"
"1:366","tt0048010","Dornröschen","FALSE","Romance","de","0.6",NA,"1955-11-16","0","0","4","3"
"1:369","tt0054911","El gato con botas","FALSE","Fantasy","es","1.384","Mexico","1961-09-14","0","0","6.2","6"
"1:370","tt0080933","Island Claws","FALSE","Horror","en","2.663","United States of America","1980-01-01","3500000","0","4.3","10"
"1:371","tt0065223","The Wonderful Land of Oz","FALSE","Fantasy","en","0.745","United States of America","1969-10-31","0","0","2.2","5"
"1:372","tt0066512","Up in the Cellar","FALSE","Romance","en","0.6","United States of America","1970-08-12","0","0","0","0"
"1:373","tt0189575","The Hidan of Maukbeiangjow","FALSE","Crime","en","0.6","United States of America","1973-01-01","0","0","7","1"
"1:374","tt0191244","The Legend of McCullough's Mountain","FALSE","Comedy","en","1.167","United States of America","1975-11-20","0","0","3","1"
"1:376","tt0073261","Land of No Return","FALSE","Adventure","en","0.6","United States of America","1978-08-01","0","0","10","1"
"1:378","tt0140276","I slik en natt","FALSE",NA,"no","0.6","Norway","1958-01-23","0","0","8","1"
"1:380","tt0054708","Bussen","FALSE",NA,"no","0.6","Norway","1961-10-16","0","0","6","1"
