,imdb_id,original_title,adult,genres.name,original_language,popularity,production_countries.name,release_date,budget,revenue,vote_average,vote_count
0.108333333,tt5974990,<U+767D><U+9D3F><U+8A08><U+5283>:<U+53F0><U+7063><U+65B0><U+96FB><U+5F71><U+4E8C><U+5341><U+5E74>,FALSE,Documentary,zh,1.181,Taiwan,25/10/2002,0,0,6.3,3
0.109027778,tt0089253,<U+5929><U+751F><U+4E00><U+5C0D>,FALSE,NA,zh,0.654,Taiwan,7/07/1984,0,0,0,0
0.109722222,tt3633096,Beach Week,FALSE,NA,en,1.347,NA,4/04/2015,0,0,0,0
0.110416667,tt1068308,Zu schön für mich,FALSE,TV Movie,de,0.931,Germany,1/08/2007,0,0,5,1
0.111111111,tt1125413,Why Am I Doing This?,FALSE,Comedy,en,1.66,United States of America,9/03/2009,500000,0,7,1
0.111805556,tt0068781,The Judge and Jake Wyler,FALSE,Mystery,en,1.729,United States of America,2/12/1972,0,0,3,1
0.113888889,tt0843593,Psychodrama,FALSE,NA,pl,0.6,NA,1/04/1972,0,0,0,0
0.114583333,tt2960568,Mistaken,FALSE,NA,en,0.6,NA,20/07/2013,0,0,1,1
0.115277778,tt2569020,Rent a Rasta,FALSE,NA,en,0.6,NA,6/06/2006,0,0,0,0
0.115972222,tt1082101,Starfest: The Stars Salute Public Television 1983,FALSE,NA,en,0.6,NA,,0,0,0,0
0.116666667,tt4680116,Meat Loaf: In and Out of Hell,FALSE,TV Movie,en,0.6,NA,9/01/2015,0,0,8,1
0.118055556,tt0184668,Leonora dos Sete Mares,FALSE,Drama,pt,1.051,Brazil,1/01/1955,0,0,5,3
0.11875,tt0069403,The Trap on Cougar Mountain,FALSE,Western,en,0.623,United States of America,1/09/1972,0,0,4,1
0.120138889,tt0274079,The Science of Star Trek,FALSE,Documentary,en,0.84,United States of America,18/01/1995,0,0,7.5,1
0.120833333,tt4083740,Reconnoiter,FALSE,Thriller,en,3.314,United Kingdom,13/09/2015,0,0,4.3,9
0.122222222,,Get Better Sound,FALSE,Music,en,0.6,United States of America,1/01/2008,0,0,10,1
0.122916667,tt0062236,Schwanensee,FALSE,Drama,de,0.901,United States of America,26/12/1966,0,0,7.8,2
0.125,tt5112972,<U+0D32><U+0D4B><U+0D30><U+0D4D><U+200D><U+0D21><U+0D4D> <U+0D32><U+0D3F><U+0D35><U+0D3F><U+0D19><U+0D4D><U+0D38><U+0D4D><U+0D31><U+0D4D><U+0D31><U+0D23><U+0D4D><U+200D> 7000 <U+0D15><U+0D23><U+0D4D><U+0D1F><U+0D3F>,FALSE,Adventure,ml,1.114,India,16/10/2015,0,0,6.3,4
0.126388889,tt4963642,Round Up,FALSE,Documentary,en,0.6,Canada,1/01/2010,0,0,0,0
0.127083333,tt6010236,The Beatles 1+,FALSE,Music,en,10.157,United Kingdom,6/11/2015,0,0,8.7,10
0.127777778,tt5182526,<U+0D2C><U+0D46><U+0D28><U+0D4D><U+200D>,FALSE,Drama,ml,1.286,India,6/11/2015,0,0,7.5,4
0.128472222,tt4691348,<U+30AF><U+30EC><U+30E8><U+30F3><U+3057><U+3093><U+3061><U+3083><U+3093> <U+30AA><U+30E9><U+306E><U+5F15><U+8D8A><U+3057><U+7269><U+8A9E> <U+30B5><U+30DC><U+30C6><U+30F3><U+5927><U+8972><U+6483>,FALSE,Adventure,ja,7.443,Japan,18/04/2015,0,0,7.3,29
0.129166667,tt0025663,A Political Party,FALSE,Comedy,en,0.6,United Kingdom,9/07/1934,0,0,0,0
0.129861111,tt4309612,<U+9752><U+9B3C> ver.2.0,FALSE,Mystery,ja,1.749,Japan,4/07/2015,0,0,3.8,7
0.13125,tt6073550,Legendy Polskie: Smok,FALSE,Science Fiction,pl,2.322,Poland,30/11/2015,0,0,6.4,18
0.131944444,tt4289298,<U+5287><U+5834><U+970A>,FALSE,Horror,ja,1.639,Japan,21/11/2015,0,0,6.2,14
0.133333333,,Cindy Crawford. A new dimension,FALSE,Documentary,en,0.6,NA,1/01/2000,0,0,0,0
0.134027778,tt5396926,Tomb Mystery,FALSE,Thriller,en,1.383,China,18/09/2015,0,0,0,0
0.136111111,,What Nobody Saw,FALSE,NA,en,0.6,United States of America,1/01/1990,0,0,0,0
0.136805556,,Puncture Wounds (September 11),FALSE,NA,en,0.6,NA,1/01/2008,0,0,0,0
0.1375,tt1908528,Maybe Siam,FALSE,NA,en,0.6,NA,1/01/2010,0,0,0,0
0.138194444,tt3726252,Mr. Calzaghe,FALSE,Documentary,en,1.985,United Kingdom,20/11/2015,0,0,6.3,5
0.138888889,tt0816593,News From Home/News From House,FALSE,Documentary,en,0.6,Belgium,1/01/2006,0,0,0,0
0.140277778,tt0167375,Rosenzweigs Freiheit,FALSE,Drama,de,0.6,Germany,1/01/1998,0,0,0,0
0.140972222,tt0354135,Un autre ete,FALSE,NA,en,0.6,NA,1/01/1981,0,0,0,0
0.142361111,tt1557563,Edmond Yakiri,FALSE,NA,en,0.6,NA,1/01/2006,0,0,0,0
0.144444444,tt0023746,<U+611B><U+64AB>,FALSE,Drama,ja,0.6,Japan,9/11/1933,0,0,0,0
0.145138889,tt2717056,<U+0427><U+0438><U+043F><U+043F><U+0435><U+043D><U+0434><U+0435><U+0439><U+043B>,FALSE,Comedy,ru,0.6,Russia,2/12/2012,0,0,6,1
0.145833333,tt4562928,<U+041D><U+043E><U+0447><U+043D><U+044B><U+0435> <U+0437><U+0438><U+043C><U+043D><U+0438><U+0435> <U+043B><U+044E><U+0434><U+0438>,FALSE,Drama,ru,0.6,Russia,25/04/2014,0,0,0,0
